Country/Region,Bm,DATE,Feature
Afghanistan,3.0,2020-04-15,Measure
Albania,3.0,2020-04-15,Measure
Algeria,3.0,2020-04-15,Measure
Angola,3.0,2020-04-15,Measure
Antigua and Barbuda,3.0,2020-04-15,Measure
Argentina,3.0,2020-04-15,Measure
Armenia,3.0,2020-04-15,Measure
Australia,3.0,2020-04-15,Measure
Austria,3.0,2020-04-15,Measure
Azerbaijan,3.0,2020-04-15,Measure
Bahamas,3.0,2020-04-15,Measure
Bahrain,3.0,2020-04-15,Measure
Bangladesh,3.0,2020-04-15,Measure
Barbados,3.0,2020-04-15,Measure
Belarus,3.0,2020-04-15,Measure
Belgium,3.0,2020-04-15,Measure
Belize,3.0,2020-04-15,Measure
Benin,3.0,2020-04-15,Measure
Bhutan,3.0,2020-04-15,Measure
Bolivia,3.0,2020-04-15,Measure
Bosnia and Herzegovina,3.0,2020-04-15,Measure
Botswana,3.0,2020-04-15,Measure
Brazil,3.0,2020-04-15,Measure
Brunei,3.0,2020-04-15,Measure
Bulgaria,3.0,2020-04-15,Measure
Burkina Faso,3.0,2020-04-15,Measure
Burundi,3.0,2020-04-15,Measure
Cabo Verde,3.0,2020-04-15,Measure
Cambodia,3.0,2020-04-15,Measure
Cameroon,3.0,2020-04-15,Measure
Canada,3.0,2020-04-15,Measure
Central African Republic,3.0,2020-04-15,Measure
Chad,3.0,2020-04-15,Measure
Chile,3.0,2020-04-15,Measure
China,3.0,2020-04-15,Measure
"China, Hong Kong Special Administrative Region",3.0,2020-04-15,Measure
Colombia,3.0,2020-04-15,Measure
Comoros,3.0,2020-04-15,Measure
Congo (Brazzaville),3.0,2020-04-15,Measure
Costa Rica,3.0,2020-04-15,Measure
Cote d'Ivoire,3.0,2020-04-15,Measure
Croatia,3.0,2020-04-15,Measure
Cuba,3.0,2020-04-15,Measure
Cyprus,3.0,2020-04-15,Measure
Czech republic,3.0,2020-04-15,Measure
Czechia,3.0,2020-04-15,Measure
