Country/Region,Current Value,Current Bm,Previous Value,Previous Bm,DATE_UPDATE,FEATURE
Afghanistan,34.0,3.0,34.0,3.0,2020-04-16,Measure
Albania,41.0,3.0,20.0,1.0,2020-04-16,Measure
Algeria,24.0,3.0,15.0,2.0,2020-04-16,Measure
Angola,52.0,3.0,52.0,3.0,2020-04-16,Measure
Antigua and Barbuda,19.0,3.0,19.0,3.0,2020-04-16,Measure
Argentina,28.0,3.0,28.0,3.0,2020-04-16,Measure
Armenia,22.0,3.0,19.0,2.0,2020-04-16,Measure
Australia,74.0,3.0,74.0,3.0,2020-04-16,Measure
Austria,57.0,3.0,55.0,3.0,2020-04-16,Measure
Azerbaijan,18.0,3.0,18.0,3.0,2020-04-16,Measure
Bahamas,41.0,3.0,41.0,3.0,2020-04-16,Measure
Bahrain,13.0,3.0,10.0,2.0,2020-04-16,Measure
Bangladesh,2.0,3.0,2.0,3.0,2020-04-16,Measure
Barbados,71.0,3.0,71.0,3.0,2020-04-16,Measure
Belarus,7.0,3.0,7.0,3.0,2020-04-16,Measure
Belgium,25.0,3.0,21.0,2.0,2020-04-16,Measure
Belize,14.0,3.0,14.0,3.0,2020-04-16,Measure
Benin,15.0,3.0,15.0,3.0,2020-04-16,Measure
Bhutan,2.0,3.0,2.0,3.0,2020-04-16,Measure
Bolivia,24.0,3.0,24.0,3.0,2020-04-16,Measure
Bosnia and Herzegovina,37.0,3.0,24.0,2.0,2020-04-16,Measure
Botswana,17.0,3.0,17.0,3.0,2020-04-16,Measure
Brazil,24.0,3.0,11.0,1.0,2020-04-16,Measure
Brunei,11.0,3.0,11.0,3.0,2020-04-16,Measure
Bulgaria,17.0,3.0,17.0,3.0,2020-04-16,Measure
Burkina Faso,13.0,3.0,13.0,3.0,2020-04-16,Measure
Burundi,8.0,3.0,8.0,3.0,2020-04-16,Measure
Cabo Verde,23.0,3.0,23.0,3.0,2020-04-16,Measure
Cambodia,2.0,3.0,2.0,3.0,2020-04-16,Measure
Cameroon,14.0,3.0,14.0,3.0,2020-04-16,Measure
Canada,26.0,3.0,26.0,3.0,2020-04-16,Measure
Central African Republic,18.0,3.0,18.0,3.0,2020-04-16,Measure
Chad,12.0,3.0,12.0,3.0,2020-04-16,Measure
Chile,30.0,3.0,30.0,3.0,2020-04-16,Measure
China,65.0,3.0,24.0,1.0,2020-04-16,Measure
"China, Hong Kong Special Administrative Region",16.0,3.0,16.0,3.0,2020-04-16,Measure
Colombia,31.0,3.0,31.0,3.0,2020-04-16,Measure
Comoros,12.0,3.0,12.0,3.0,2020-04-16,Measure
Congo (Brazzaville),13.0,3.0,13.0,3.0,2020-04-16,Measure
Costa Rica,18.0,3.0,18.0,3.0,2020-04-16,Measure
Cote d'Ivoire,17.0,3.0,17.0,3.0,2020-04-16,Measure
Croatia,26.0,3.0,22.0,2.0,2020-04-16,Measure
Cuba,16.0,3.0,16.0,3.0,2020-04-16,Measure
Cyprus,35.0,3.0,21.0,2.0,2020-04-16,Measure
Czech republic,5.0,3.0,5.0,3.0,2020-04-16,Measure
Czechia,40.0,3.0,40.0,3.0,2020-04-16,Measure
Denmark,54.0,3.0,51.0,3.0,2020-04-16,Measure
Djibouti,3.0,3.0,3.0,3.0,2020-04-16,Measure
Dominica,15.0,3.0,15.0,3.0,2020-04-16,Measure
Dominican Republic,20.0,3.0,20.0,3.0,2020-04-16,Measure
Ecuador,20.0,3.0,20.0,3.0,2020-04-16,Measure
Egypt,22.0,3.0,22.0,3.0,2020-04-16,Measure
El Salvador,28.0,3.0,28.0,3.0,2020-04-16,Measure
Equatorial Guinea,48.0,3.0,48.0,3.0,2020-04-16,Measure
Eritrea,17.0,3.0,17.0,3.0,2020-04-16,Measure
Estonia,30.0,3.0,30.0,3.0,2020-04-16,Measure
Eswatini,27.0,3.0,27.0,3.0,2020-04-16,Measure
Ethiopia,30.0,3.0,30.0,3.0,2020-04-16,Measure
Fiji,36.0,3.0,36.0,3.0,2020-04-16,Measure
Finland,37.0,3.0,37.0,3.0,2020-04-16,Measure
France,35.0,3.0,35.0,3.0,2020-04-16,Measure
Gabon,23.0,3.0,23.0,3.0,2020-04-16,Measure
Gambia,12.0,3.0,12.0,3.0,2020-04-16,Measure
Georgia,18.0,3.0,18.0,3.0,2020-04-16,Measure
Germany,44.0,3.0,36.0,2.0,2020-04-16,Measure
Ghana,26.0,3.0,26.0,3.0,2020-04-16,Measure
Greece,16.0,3.0,16.0,3.0,2020-04-16,Measure
Grenada,12.0,3.0,12.0,3.0,2020-04-16,Measure
Guatemala,20.0,3.0,20.0,3.0,2020-04-16,Measure
Guinea,18.0,3.0,18.0,3.0,2020-04-16,Measure
Guinea-Bissau,19.0,3.0,19.0,3.0,2020-04-16,Measure
Guyana,1.0,3.0,1.0,3.0,2020-04-16,Measure
Haiti,19.0,3.0,8.0,1.0,2020-04-16,Measure
Honduras,35.0,3.0,35.0,3.0,2020-04-16,Measure
Hungary,50.0,3.0,50.0,3.0,2020-04-16,Measure
Iceland,14.0,3.0,14.0,3.0,2020-04-16,Measure
India,27.0,3.0,27.0,3.0,2020-04-16,Measure
Indonesia,13.0,3.0,13.0,3.0,2020-04-16,Measure
Iran,13.0,3.0,13.0,3.0,2020-04-16,Measure
Iraq,25.0,3.0,25.0,3.0,2020-04-16,Measure
Ireland,39.0,3.0,39.0,3.0,2020-04-16,Measure
Israel,31.0,3.0,31.0,3.0,2020-04-16,Measure
Italy,53.0,3.0,53.0,3.0,2020-04-16,Measure
Jamaica,6.0,3.0,6.0,3.0,2020-04-16,Measure
Japan,31.0,3.0,30.0,3.0,2020-04-16,Measure
Jordan,29.0,3.0,29.0,3.0,2020-04-16,Measure
Kazakhstan,6.0,3.0,6.0,3.0,2020-04-16,Measure
Kenya,29.0,3.0,27.0,3.0,2020-04-16,Measure
Kiribati,8.0,3.0,6.0,2.0,2020-04-16,Measure
Kuwait,24.0,3.0,24.0,3.0,2020-04-16,Measure
Kyrgyzstan,8.0,3.0,8.0,3.0,2020-04-16,Measure
Lao PDR,4.0,3.0,4.0,3.0,2020-04-16,Measure
Latvia,25.0,3.0,25.0,3.0,2020-04-16,Measure
Lebanon,18.0,3.0,18.0,3.0,2020-04-16,Measure
Lesotho,11.0,3.0,11.0,3.0,2020-04-16,Measure
Liberia,17.0,3.0,17.0,3.0,2020-04-16,Measure
Libya,23.0,3.0,23.0,3.0,2020-04-16,Measure
Liechtenstein,15.0,3.0,15.0,3.0,2020-04-16,Measure
Lithuania,37.0,3.0,37.0,3.0,2020-04-16,Measure
Luxembourg,32.0,3.0,32.0,3.0,2020-04-16,Measure
Madagascar,28.0,3.0,27.0,3.0,2020-04-16,Measure
Malawi,34.0,3.0,33.0,3.0,2020-04-16,Measure
Malaysia,80.0,3.0,74.0,3.0,2020-04-16,Measure
Maldives,20.0,3.0,20.0,3.0,2020-04-16,Measure
Mali,16.0,3.0,12.0,2.0,2020-04-16,Measure
Malta,23.0,3.0,23.0,3.0,2020-04-16,Measure
Marshall Islands,23.0,3.0,16.0,2.0,2020-04-16,Measure
Mauritania,20.0,3.0,20.0,3.0,2020-04-16,Measure
Mauritius,14.0,3.0,14.0,3.0,2020-04-16,Measure
Mexico,10.0,3.0,8.0,2.0,2020-04-16,Measure
Micronesia,12.0,3.0,9.0,2.0,2020-04-16,Measure
Moldova,2.0,3.0,2.0,3.0,2020-04-16,Measure
Moldova Republic of,11.0,3.0,11.0,3.0,2020-04-16,Measure
Mongolia,18.0,3.0,18.0,3.0,2020-04-16,Measure
Montenegro,17.0,3.0,16.0,3.0,2020-04-16,Measure
Morocco,7.0,3.0,7.0,3.0,2020-04-16,Measure
Mozambique,44.0,3.0,44.0,3.0,2020-04-16,Measure
Myanmar,28.0,3.0,28.0,3.0,2020-04-16,Measure
Namibia,25.0,3.0,25.0,3.0,2020-04-16,Measure
Nauru,17.0,3.0,15.0,3.0,2020-04-16,Measure
Nepal,30.0,3.0,30.0,3.0,2020-04-16,Measure
Netherlands,15.0,3.0,15.0,3.0,2020-04-16,Measure
New Zealand,54.0,3.0,54.0,3.0,2020-04-16,Measure
Nicaragua,5.0,3.0,5.0,3.0,2020-04-16,Measure
Niger,19.0,3.0,15.0,2.0,2020-04-16,Measure
Nigeria,10.0,3.0,9.0,3.0,2020-04-16,Measure
North Macedonia,13.0,3.0,13.0,3.0,2020-04-16,Measure
Norway,36.0,3.0,36.0,3.0,2020-04-16,Measure
Oman,18.0,3.0,18.0,3.0,2020-04-16,Measure
Pakistan,10.0,3.0,10.0,3.0,2020-04-16,Measure
Palau,16.0,3.0,15.0,3.0,2020-04-16,Measure
Palestine,16.0,3.0,16.0,3.0,2020-04-16,Measure
Panama,31.0,3.0,31.0,3.0,2020-04-16,Measure
Papua New Guinea,42.0,3.0,42.0,3.0,2020-04-16,Measure
Paraguay,26.0,3.0,22.0,2.0,2020-04-16,Measure
Peru,30.0,3.0,27.0,2.0,2020-04-16,Measure
Philippines,101.0,3.0,101.0,3.0,2020-04-16,Measure
Poland,36.0,3.0,36.0,3.0,2020-04-16,Measure
Portugal,46.0,3.0,46.0,3.0,2020-04-16,Measure
Qatar,9.0,3.0,9.0,3.0,2020-04-16,Measure
Republic of the Congo,13.0,3.0,13.0,3.0,2020-04-16,Measure
