Country/Region,MEASURE,CATEGORY,Date_Original,Date - 7,Confirmed - 7,Deaths - 7,Recovered - 7,Confirmed_Original,Deaths_Original,Recovered_Original,Date + 7,Confirmed_+7,Deaths_+7,Recovered_+7,Now,Date,Confirmed Now,Deaths Now,Recovered Now,Active_1weekBefMeasure,Active_DateMeasure,Active_1weekAfterMeasure,Active_Now,Timeframe,Variation_Rate_%
Mongolia,Strengthening the public health system,Public health measures,2020-01-01,2019-12-25,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-08,0.0,0.0,0.0,2020-04-11,2020-04-11,16.0,0.0,4.0,0.0,0.0,0.0,12.0,Variation 1 week before measure,-0.0
Cote d'Ivoire,Health screenings in airports and border crossings,Public health measures,2020-01-02,2019-12-26,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-09,0.0,0.0,0.0,2020-04-11,2020-04-11,533.0,4.0,58.0,0.0,0.0,0.0,471.0,Variation 1 week before measure,-0.0
United Arab Emirates,Visa restrictions,Movement restrictions,2020-01-02,2019-12-26,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-09,0.0,0.0,0.0,2020-04-11,2020-04-11,3736.0,20.0,588.0,0.0,0.0,0.0,3128.0,Variation 1 week before measure,-0.0
Bulgaria,Introduction of isolation and quarantine policies,Public health measures,2020-01-03,2019-12-27,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-10,0.0,0.0,0.0,2020-04-11,2020-04-11,661.0,28.0,62.0,0.0,0.0,0.0,571.0,Variation 1 week before measure,-0.0
Thailand,Surveillance and monitoring,Movement restrictions,2020-01-03,2019-12-27,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-10,0.0,0.0,0.0,2020-04-11,2020-04-11,2518.0,35.0,1135.0,0.0,0.0,0.0,1348.0,Variation 1 week before measure,-0.0
Panama,Border checks ,Movement restrictions,2020-01-04,2019-12-28,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-11,0.0,0.0,0.0,2020-04-11,2020-04-11,2974.0,74.0,17.0,0.0,0.0,0.0,2883.0,Variation 1 week before measure,-0.0
Oman,Border checks ,Movement restrictions,2020-01-04,2019-12-28,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-11,0.0,0.0,0.0,2020-04-11,2020-04-11,546.0,3.0,109.0,0.0,0.0,0.0,434.0,Variation 1 week before measure,-0.0
Mali,Emergency administrative structures activated or established,Governance and socio-economic measures,2020-01-04,2019-12-28,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-11,0.0,0.0,0.0,2020-04-11,2020-04-11,87.0,7.0,22.0,0.0,0.0,0.0,58.0,Variation 1 week before measure,-0.0
Thailand,Checkpoints within the country,Movement restrictions,2020-01-18,2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-25,7.0,0.0,0.0,2020-04-11,2020-04-11,2518.0,35.0,1135.0,0.0,0.0,7.0,1348.0,Variation 1 week before measure,-0.0
Thailand,Introduction of isolation and quarantine policies,Public health measures,2020-01-18,2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-25,7.0,0.0,0.0,2020-04-11,2020-04-11,2518.0,35.0,1135.0,0.0,0.0,7.0,1348.0,Variation 1 week before measure,-0.0
Thailand,Strengthening the public health system,Public health measures,2020-01-18,2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-25,7.0,0.0,0.0,2020-04-11,2020-04-11,2518.0,35.0,1135.0,0.0,0.0,7.0,1348.0,Variation 1 week before measure,-0.0
Malta,General recommendations,Public health measures,2020-01-19,2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-26,0.0,0.0,0.0,2020-04-11,2020-04-11,370.0,3.0,16.0,0.0,0.0,0.0,351.0,Variation 1 week before measure,-0.0
Philippines,Border closure ,Movement restrictions,2020-01-19,2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-26,0.0,0.0,0.0,2020-04-11,2020-04-11,4428.0,247.0,157.0,0.0,0.0,0.0,4024.0,Variation 1 week before measure,-0.0
Sudan,Checkpoints within the country,Movement restrictions,2020-01-20,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-27,0.0,0.0,0.0,2020-04-11,2020-04-11,19.0,2.0,2.0,0.0,0.0,0.0,15.0,Variation 1 week before measure,-0.0
Sudan,Emergency administrative structures activated or established,Governance and socio-economic measures,2020-01-20,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-27,0.0,0.0,0.0,2020-04-11,2020-04-11,19.0,2.0,2.0,0.0,0.0,0.0,15.0,Variation 1 week before measure,-0.0
China,State of emergency declared,Governance and socio-economic measures,2020-01-20,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-27,2877.0,82.0,58.0,2020-04-11,2020-04-11,83014.0,3343.0,77877.0,0.0,0.0,2737.0,1794.0,Variation 1 week before measure,-0.0
United States,Emergency administrative structures activated or established,Governance and socio-economic measures,2020-01-21,2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-28,5.0,0.0,0.0,2020-04-11,2020-04-11,526396.0,20463.0,31353.0,0.0,0.0,5.0,474580.0,Variation 1 week before measure,-0.0
Thailand,General recommendations,Public health measures,2020-01-21,2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-28,14.0,0.0,5.0,2020-04-11,2020-04-11,2518.0,35.0,1135.0,0.0,0.0,9.0,1348.0,Variation 1 week before measure,-0.0
Italy,Emergency administrative structures activated or established,Governance and socio-economic measures,2020-01-22,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-29,0.0,0.0,0.0,2020-04-11,2020-04-11,152271.0,19468.0,32534.0,0.0,0.0,0.0,100269.0,Variation 1 week before measure,-0.0
Philippines,Strengthening the public health system,Public health measures,2020-01-22,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-29,0.0,0.0,0.0,2020-04-11,2020-04-11,4428.0,247.0,157.0,0.0,0.0,0.0,4024.0,Variation 1 week before measure,-0.0
Barbados,Health screenings in airports and border crossings,Public health measures,2020-01-22,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-29,0.0,0.0,0.0,2020-04-11,2020-04-11,68.0,4.0,11.0,0.0,0.0,0.0,53.0,Variation 1 week before measure,-0.0
Panama,Health screenings in airports and border crossings,Public health measures,2020-01-22,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-29,0.0,0.0,0.0,2020-04-11,2020-04-11,2974.0,74.0,17.0,0.0,0.0,0.0,2883.0,Variation 1 week before measure,-0.0
Thailand,Emergency administrative structures activated or established,Governance and socio-economic measures,2020-01-22,2020-01-15,0.0,0.0,0.0,2.0,0.0,0.0,2020-01-29,14.0,0.0,5.0,2020-04-11,2020-04-11,2518.0,35.0,1135.0,0.0,2.0,9.0,1348.0,Variation 1 week before measure,100.0
Barbados,Awareness campaigns,Public health measures,2020-01-22,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-29,0.0,0.0,0.0,2020-04-11,2020-04-11,68.0,4.0,11.0,0.0,0.0,0.0,53.0,Variation 1 week before measure,-0.0
United States,Strengthening the public health system,Public health measures,2020-01-22,2020-01-15,0.0,0.0,0.0,1.0,0.0,0.0,2020-01-29,5.0,0.0,0.0,2020-04-11,2020-04-11,526396.0,20463.0,31353.0,0.0,1.0,5.0,474580.0,Variation 1 week before measure,100.0
China,Health screenings in airports and border crossings,Public health measures,2020-01-22,2020-01-15,0.0,0.0,0.0,548.0,17.0,28.0,2020-01-29,6087.0,133.0,120.0,2020-04-11,2020-04-11,83014.0,3343.0,77877.0,0.0,503.0,5834.0,1794.0,Variation 1 week before measure,100.0
Palau,Emergency administrative structures activated or established,Governance and socio-economic measures,2020-01-22,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-29,0.0,0.0,0.0,2020-04-11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Variation 1 week before measure,-0.0
Bahamas,General recommendations,Public health measures,2020-01-22,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-29,0.0,0.0,0.0,2020-04-11,2020-04-11,46.0,8.0,5.0,0.0,0.0,0.0,33.0,Variation 1 week before measure,-0.0
Kyrgyzstan,Surveillance and monitoring,Movement restrictions,2020-01-22,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-29,0.0,0.0,0.0,2020-04-11,2020-04-11,339.0,5.0,44.0,0.0,0.0,0.0,290.0,Variation 1 week before measure,-0.0
United Arab Emirates,Health screenings in airports and border crossings,Public health measures,2020-01-23,2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-30,4.0,0.0,0.0,2020-04-11,2020-04-11,3736.0,20.0,588.0,0.0,0.0,4.0,3128.0,Variation 1 week before measure,-0.0
Belize,Awareness campaigns,Public health measures,2020-01-23,2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-30,0.0,0.0,0.0,2020-04-11,2020-04-11,13.0,2.0,0.0,0.0,0.0,0.0,11.0,Variation 1 week before measure,-0.0
Italy,Introduction of isolation and quarantine policies,Public health measures,2020-01-23,2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-30,0.0,0.0,0.0,2020-04-11,2020-04-11,152271.0,19468.0,32534.0,0.0,0.0,0.0,100269.0,Variation 1 week before measure,-0.0
Saint Lucia,Strengthening the public health system,Public health measures,2020-01-23,2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-30,0.0,0.0,0.0,2020-04-11,2020-04-11,15.0,0.0,1.0,0.0,0.0,0.0,14.0,Variation 1 week before measure,-0.0
Palau,Health screenings in airports and border crossings,Public health measures,2020-01-23,2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-30,0.0,0.0,0.0,2020-04-11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Variation 1 week before measure,-0.0
Israel,General recommendations,Public health measures,2020-01-24,2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-31,0.0,0.0,0.0,2020-04-11,2020-04-11,10743.0,101.0,1341.0,0.0,0.0,0.0,9301.0,Variation 1 week before measure,-0.0
Dominica,Awareness campaigns,Public health measures,2020-01-24,2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-31,0.0,0.0,0.0,2020-04-11,2020-04-11,16.0,0.0,5.0,0.0,0.0,0.0,11.0,Variation 1 week before measure,-0.0
Afghanistan,Awareness campaigns,Public health measures,2020-01-24,2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-31,0.0,0.0,0.0,2020-04-11,2020-04-11,555.0,18.0,32.0,0.0,0.0,0.0,505.0,Variation 1 week before measure,-0.0
Turkey,Health screenings in airports and border crossings,Public health measures,2020-01-24,2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-31,0.0,0.0,0.0,2020-04-11,2020-04-11,52167.0,1101.0,2965.0,0.0,0.0,0.0,48101.0,Variation 1 week before measure,-0.0
Canada,Introduction of isolation and quarantine policies,Public health measures,2020-01-25,2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-01,4.0,0.0,0.0,2020-04-11,2020-04-11,23316.0,654.0,6589.0,0.0,0.0,4.0,16073.0,Variation 1 week before measure,-0.0
