Country/Region,Province/State,Confirmed cases,Deaths,Recoveries,Latitude,Long,Date,Confirmed Daily,Deaths Daily,Recovered Daily
Afghanistan,Afghanistan,1.0,0.0,0.0,33.93911,67.709953,2020-02-24,1.0,0.0,0.0
Afghanistan,Afghanistan,1.0,0.0,0.0,33.93911,67.709953,2020-02-25,0.0,0.0,0.0
Afghanistan,Afghanistan,1.0,0.0,0.0,33.93911,67.709953,2020-02-26,0.0,0.0,0.0
Afghanistan,Afghanistan,1.0,0.0,0.0,33.93911,67.709953,2020-02-27,0.0,0.0,0.0
Afghanistan,Afghanistan,1.0,0.0,0.0,33.93911,67.709953,2020-02-28,0.0,0.0,0.0
Afghanistan,Afghanistan,1.0,0.0,0.0,33.93911,67.709953,2020-02-29,0.0,0.0,0.0
Afghanistan,Afghanistan,1.0,0.0,0.0,33.93911,67.709953,2020-03-01,0.0,0.0,0.0
Afghanistan,Afghanistan,1.0,0.0,0.0,33.93911,67.709953,2020-03-02,0.0,0.0,0.0
Afghanistan,Afghanistan,1.0,0.0,0.0,33.93911,67.709953,2020-03-03,0.0,0.0,0.0
Afghanistan,Afghanistan,1.0,0.0,0.0,33.93911,67.709953,2020-03-04,0.0,0.0,0.0
Afghanistan,Afghanistan,1.0,0.0,0.0,33.93911,67.709953,2020-03-05,0.0,0.0,0.0
Afghanistan,Afghanistan,1.0,0.0,0.0,33.93911,67.709953,2020-03-06,0.0,0.0,0.0
Afghanistan,Afghanistan,1.0,0.0,0.0,33.93911,67.709953,2020-03-07,0.0,0.0,0.0
Afghanistan,Afghanistan,4.0,0.0,0.0,33.93911,67.709953,2020-03-08,3.0,0.0,0.0
Afghanistan,Afghanistan,4.0,0.0,0.0,33.93911,67.709953,2020-03-09,0.0,0.0,0.0
Afghanistan,Afghanistan,5.0,0.0,0.0,33.93911,67.709953,2020-03-10,1.0,0.0,0.0
Afghanistan,Afghanistan,7.0,0.0,0.0,33.93911,67.709953,2020-03-11,2.0,0.0,0.0
Afghanistan,Afghanistan,7.0,0.0,0.0,33.93911,67.709953,2020-03-12,0.0,0.0,0.0
Afghanistan,Afghanistan,7.0,0.0,0.0,33.93911,67.709953,2020-03-13,0.0,0.0,0.0
Afghanistan,Afghanistan,11.0,0.0,0.0,33.93911,67.709953,2020-03-14,4.0,0.0,0.0
Afghanistan,Afghanistan,16.0,0.0,0.0,33.93911,67.709953,2020-03-15,5.0,0.0,0.0
Afghanistan,Afghanistan,21.0,0.0,1.0,33.93911,67.709953,2020-03-16,5.0,0.0,1.0
Afghanistan,Afghanistan,22.0,0.0,1.0,33.93911,67.709953,2020-03-17,1.0,0.0,0.0
Afghanistan,Afghanistan,22.0,0.0,1.0,33.93911,67.709953,2020-03-18,0.0,0.0,0.0
Afghanistan,Afghanistan,22.0,0.0,1.0,33.93911,67.709953,2020-03-19,0.0,0.0,0.0
Afghanistan,Afghanistan,24.0,0.0,1.0,33.93911,67.709953,2020-03-20,2.0,0.0,0.0
Afghanistan,Afghanistan,24.0,0.0,1.0,33.93911,67.709953,2020-03-21,0.0,0.0,0.0
Afghanistan,Afghanistan,40.0,1.0,1.0,33.93911,67.709953,2020-03-22,16.0,1.0,0.0
Afghanistan,Afghanistan,40.0,1.0,1.0,33.93911,67.709953,2020-03-23,0.0,0.0,0.0
Afghanistan,Afghanistan,74.0,1.0,1.0,33.93911,67.709953,2020-03-24,34.0,0.0,0.0
Afghanistan,Afghanistan,84.0,2.0,2.0,33.93911,67.709953,2020-03-25,10.0,1.0,1.0
Afghanistan,Afghanistan,94.0,4.0,2.0,33.93911,67.709953,2020-03-26,10.0,2.0,0.0
Afghanistan,Afghanistan,110.0,4.0,2.0,33.93911,67.709953,2020-03-27,16.0,0.0,0.0
Afghanistan,Afghanistan,110.0,4.0,2.0,33.93911,67.709953,2020-03-28,0.0,0.0,0.0
Afghanistan,Afghanistan,120.0,4.0,2.0,33.93911,67.709953,2020-03-29,10.0,0.0,0.0
Afghanistan,Afghanistan,170.0,4.0,2.0,33.93911,67.709953,2020-03-30,50.0,0.0,0.0
Afghanistan,Afghanistan,174.0,4.0,5.0,33.93911,67.709953,2020-03-31,4.0,0.0,3.0
Afghanistan,Afghanistan,237.0,4.0,5.0,33.93911,67.709953,2020-04-01,63.0,0.0,0.0
Albania,Albania,2.0,0.0,0.0,41.1533,20.1683,2020-03-09,2.0,0.0,0.0
Albania,Albania,10.0,0.0,0.0,41.1533,20.1683,2020-03-10,8.0,0.0,0.0
Albania,Albania,12.0,1.0,0.0,41.1533,20.1683,2020-03-11,2.0,1.0,0.0
