Country/Region,Confirmed,Date,Variation_Active_1week,Variation_Active_2weeks,Variation_Active_1day,Started declining_days,max_variation,index
Cambodia,122.0,2020-05-19,1.0,1.0,0.0,2 weeks ago,1.0,1
Dominica,16.0,2020-05-19,1.0,1.0,0.0,2 weeks ago,1.0,2
Eritrea,39.0,2020-05-19,1.0,1.0,0.0,2 weeks ago,1.0,3
Mauritius,332.0,2020-05-19,0.0,1.0,0.0,2 weeks ago,1.0,4
Saint Kitts and Nevis,15.0,2020-05-19,1.0,1.0,1.0,2 weeks ago,1.0,5
Saint Lucia,18.0,2020-05-19,1.0,1.0,0.0,2 weeks ago,1.0,6
Seychelles,11.0,2020-05-19,1.0,1.0,0.0,2 weeks ago,1.0,7
Timor-Leste,24.0,2020-05-19,1.0,1.0,0.0,2 weeks ago,1.0,8
Western Sahara,6.0,2020-05-19,0.0,1.0,0.0,2 weeks ago,1.0,9
Slovenia,1467.0,2020-05-19,0.9772727272727272,0.9773345421577516,0.07407407407407407,2 weeks ago,0.9773345421577516,10
Montenegro,324.0,2020-05-19,0.8235294117647058,0.9523809523809524,0.25,2 weeks ago,0.9523809523809524,11
Iceland,1802.0,2020-05-19,0.8,0.9464285714285714,0.5,2 weeks ago,0.9464285714285714,12
Benin,130.0,2020-05-19,0.8192771084337349,-0.022727272727272728,0.8228346456692913,1 week ago,0.8228346456692913,13
West Bank and Gaza,391.0,2020-05-19,0.3384615384615385,0.8223140495867769,0.12244897959183673,2 weeks ago,0.8223140495867769,14
Trinidad and Tobago,116.0,2020-05-19,0.0,0.8,0.0,2 weeks ago,0.8,15
New Zealand,1503.0,2020-05-19,0.527027027027027,0.7682119205298014,0.2222222222222222,2 weeks ago,0.7682119205298014,16
China,84063.0,2020-05-19,0.2767295597484277,0.7505422993492408,0.0,2 weeks ago,0.7505422993492408,17
Aruba,101.0,2020-05-19,0.4444444444444444,0.7058823529411765,0.0,2 weeks ago,0.7058823529411765,18
Tunisia,1044.0,2020-05-19,0.3076923076923077,0.6559356136820925,0.03932584269662921,2 weeks ago,0.6559356136820925,19
Taiwan,440.0,2020-05-19,0.4262295081967213,0.6428571428571429,0.0,2 weeks ago,0.6428571428571429,20
Croatia,2232.0,2020-05-19,0.4512987012987013,0.6396588486140725,0.0962566844919786,2 weeks ago,0.6396588486140725,21
Switzerland,30618.0,2020-05-19,0.4004670169293637,0.6350390902629709,0.07560756075607561,2 weeks ago,0.6350390902629709,22
Namibia,16.0,2020-05-19,0.4,0.625,0.0,2 weeks ago,0.625,23
Saint Vincent and the Grenadines,17.0,2020-05-19,0.4,0.625,0.0,2 weeks ago,0.625,24
Luxembourg,3958.0,2020-05-19,0.2802197802197802,0.6054216867469879,-0.048,2 weeks ago,0.6054216867469879,25
Japan,16367.0,2020-05-19,0.40486725663716816,0.6044505440643074,-0.010771543086172343,2 weeks ago,0.6044505440643074,26
Cuba,1887.0,2020-05-19,0.3986636971046771,0.5921450151057401,0.09090909090909093,2 weeks ago,0.5921450151057401,27
Slovakia,1495.0,2020-05-19,0.3956043956043956,0.5801526717557252,0.024822695035460998,2 weeks ago,0.5801526717557252,28
Andorra,761.0,2020-05-19,0.4225352112676056,0.5706806282722513,0.04651162790697674,2 weeks ago,0.5706806282722513,29
Ireland,24251.0,2020-05-19,0.3066322136089578,0.556351612014329,-0.011624253848570531,2 weeks ago,0.556351612014329,30
