FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Combined_Key,Active
,,Alberta,Canada,2020-04-01 22:04:44,53.9333,-116.5765,754,9,0,"Alberta, Canada",745
,,Anguilla,United Kingdom,2020-04-01 23:08:13,18.2206,-63.0686,2,0,0,"Anguilla, United Kingdom",2
,,Anhui,China,2020-03-08 05:19:01,31.8257,117.2264,990,6,984,"Anhui, China",0
,,Aruba,Netherlands,2020-04-01 23:08:13,12.5211,-69.9683,55,0,1,"Aruba, Netherlands",54
,,Australian Capital Territory,Australia,2020-04-01 23:14:26,-35.4735,149.0124,84,1,8,"Australian Capital Territory, Australia",75
,,Beijing,China,2020-04-01 00:55:49,40.1824,116.4142,580,8,418,"Beijing, China",154
,,Bermuda,United Kingdom,2020-04-01 23:08:13,32.3078,-64.7505,32,0,10,"Bermuda, United Kingdom",22
,,British Columbia,Canada,2020-04-01 22:04:44,53.7267,-127.6476,1013,24,0,"British Columbia, Canada",989
,,British Virgin Islands,United Kingdom,2020-04-01 23:08:13,18.4207,-64.64,3,0,0,"British Virgin Islands, United Kingdom",3
,,Cayman Islands,United Kingdom,2020-04-01 23:08:13,19.3133,-81.2546,22,1,0,"Cayman Islands, United Kingdom",21
,,Channel Islands,United Kingdom,2020-04-01 23:08:13,49.3723,-2.3644,172,3,0,"Channel Islands, United Kingdom",169
,,Chongqing,China,2020-03-29 00:14:12,30.0572,107.874,579,6,570,"Chongqing, China",3
,,Curacao,Netherlands,2020-04-01 23:08:13,12.1696,-68.99,11,1,3,"Curacao, Netherlands",7
,,Diamond Princess,Canada,2020-04-01 22:04:44,0.0,0.0,0,1,0,"Diamond Princess, Canada",-1
,,Faroe Islands,Denmark,2020-04-01 23:08:13,61.8926,-6.9118,173,0,75,"Faroe Islands, Denmark",98
,,French Guiana,France,2020-04-01 23:08:13,4.0,-53.0,51,0,15,"French Guiana, France",36
,,French Polynesia,France,2020-04-01 23:08:13,-17.6797,-149.4068,37,0,0,"French Polynesia, France",37
,,Fujian,China,2020-04-01 11:54:10,26.0789,117.9874,345,1,298,"Fujian, China",46
,,Gansu,China,2020-04-01 14:00:34,37.8099,101.0583,138,2,127,"Gansu, China",9
