Country/Region,Date_PowerBI,COMMENTS
Afghanistan,2020-04-07,5
Afghanistan,2020-04-13,35
Albania,2020-04-07,20
Albania,2020-04-13,18
Algeria,2020-04-07,15
Algeria,2020-04-13,15
Angola,2020-04-07,38
Angola,2020-04-13,38
Antigua and Barbuda,2020-04-07,5
Antigua and Barbuda,2020-04-13,5
Argentina,2020-04-07,23
Argentina,2020-04-13,23
Armenia,2020-04-07,17
Armenia,2020-04-13,18
Australia,2020-04-07,47
Australia,2020-04-13,47
Austria,2020-04-07,33
Austria,2020-04-13,33
Azerbaijan,2020-04-07,7
Azerbaijan,2020-04-13,8
Bahamas,2020-04-07,20
Bahamas,2020-04-13,19
Bahrain,2020-04-07,10
Bahrain,2020-04-13,10
Bangladesh,2020-04-07,2
Bangladesh,2020-04-13,2
Barbados,2020-04-07,29
Barbados,2020-04-13,30
Belarus,2020-04-07,4
Belarus,2020-04-13,4
Belgium,2020-04-07,9
Belgium,2020-04-13,10
Belize,2020-04-07,13
Belize,2020-04-13,13
Benin,2020-04-07,10
Benin,2020-04-13,10
Bhutan,2020-04-07,2
Bhutan,2020-04-13,2
Bolivia,2020-04-07,19
Bolivia,2020-04-13,19
Bosnia and Herzegovina,2020-04-07,16
Bosnia and Herzegovina,2020-04-13,21
Botswana,2020-04-07,15
Botswana,2020-04-13,17
Brazil,2020-04-07,9
Brazil,2020-04-13,10
Bulgaria,2020-04-07,15
Bulgaria,2020-04-13,14
Burkina Faso,2020-04-07,12
Burkina Faso,2020-04-13,12
Burundi,2020-04-07,7
Burundi,2020-04-13,7
Cabo Verde,2020-04-07,19
Cabo Verde,2020-04-13,19
Cameroon,2020-04-07,13
Cameroon,2020-04-13,14
Canada,2020-04-07,24
Canada,2020-04-13,24
Central African Republic,2020-04-07,16
Central African Republic,2020-04-13,16
Chad,2020-04-07,10
Chad,2020-04-13,11
Chile,2020-04-07,24
Chile,2020-04-13,24
China,2020-04-07,17
China,2020-04-13,17
Colombia,2020-04-07,21
Colombia,2020-04-13,21
Costa Rica,2020-04-07,12
Costa Rica,2020-04-13,12
Cote d'Ivoire,2020-04-07,15
Cote d'Ivoire,2020-04-13,15
Croatia,2020-04-07,14
Croatia,2020-04-13,14
Cuba,2020-04-07,13
Cuba,2020-04-13,12
Cyprus,2020-04-07,21
Cyprus,2020-04-13,21
Czechia,2020-04-07,32
Czechia,2020-04-13,32
Denmark,2020-04-07,38
Denmark,2020-04-13,40
Djibouti,2020-04-07,2
Djibouti,2020-04-13,2
Dominica,2020-04-07,14
Dominica,2020-04-13,13
Dominican Republic,2020-04-07,15
Dominican Republic,2020-04-13,16
Ecuador,2020-04-07,19
Ecuador,2020-04-13,19
Egypt,2020-04-07,11
Egypt,2020-04-13,11
El Salvador,2020-04-07,24
El Salvador,2020-04-13,24
Equatorial Guinea,2020-04-07,44
Equatorial Guinea,2020-04-13,44
Eritrea,2020-04-07,16
Eritrea,2020-04-13,16
Estonia,2020-04-07,24
Estonia,2020-04-13,25
Eswatini,2020-04-07,24
Eswatini,2020-04-13,25
Ethiopia,2020-04-07,24
Ethiopia,2020-04-13,24
Fiji,2020-04-07,28
Fiji,2020-04-13,29
Finland,2020-04-07,29
Finland,2020-04-13,29
France,2020-04-07,27
France,2020-04-13,28
Gabon,2020-04-07,18
Gabon,2020-04-13,18
Gambia,2020-04-07,11
Gambia,2020-04-13,11
Georgia,2020-04-07,18
Georgia,2020-04-13,18
Germany,2020-04-07,29
Germany,2020-04-13,30
Ghana,2020-04-07,21
Ghana,2020-04-13,21
Greece,2020-04-07,15
Greece,2020-04-13,15
Grenada,2020-04-07,12
Grenada,2020-04-13,12
Guatemala,2020-04-07,16
Guatemala,2020-04-13,16
Guinea,2020-04-07,10
Guinea,2020-04-13,15
Guinea-Bissau,2020-04-07,18
Guinea-Bissau,2020-04-13,18
Haiti,2020-04-07,7
Haiti,2020-04-13,9
Honduras,2020-04-07,28
Honduras,2020-04-13,28
Hungary,2020-04-07,50
Hungary,2020-04-13,50
Iceland,2020-04-07,11
Iceland,2020-04-13,11
India,2020-04-07,24
India,2020-04-13,24
Indonesia,2020-04-07,12
Indonesia,2020-04-13,12
Iran,2020-04-07,13
Iran,2020-04-13,13
Iraq,2020-04-07,24
Iraq,2020-04-13,24
Ireland,2020-04-07,35
Ireland,2020-04-13,36
Israel,2020-04-07,30
Israel,2020-04-13,30
Italy,2020-04-07,37
Italy,2020-04-13,38
Jamaica,2020-04-07,6
Jamaica,2020-04-13,6
Japan,2020-04-07,30
Japan,2020-04-13,32
Jordan,2020-04-07,26
Jordan,2020-04-13,29
Kazakhstan,2020-04-07,6
Kazakhstan,2020-04-13,6
Kenya,2020-04-07,22
Kenya,2020-04-13,22
Kuwait,2020-04-07,17
Kuwait,2020-04-13,15
Kyrgyzstan,2020-04-07,7
Kyrgyzstan,2020-04-13,7
Latvia,2020-04-07,21
Latvia,2020-04-13,21
Lebanon,2020-04-07,17
Lebanon,2020-04-13,18
Liberia,2020-04-07,15
Liberia,2020-04-13,15
Libya,2020-04-07,20
Libya,2020-04-13,20
Liechtenstein,2020-04-07,12
Liechtenstein,2020-04-13,15
Lithuania,2020-04-07,21
Lithuania,2020-04-13,36
Luxembourg,2020-04-07,22
Luxembourg,2020-04-13,29
Madagascar,2020-04-07,20
Madagascar,2020-04-13,27
Malawi,2020-04-07,20
Malawi,2020-04-13,19
Malaysia,2020-04-07,51
Malaysia,2020-04-13,52
Maldives,2020-04-07,13
Maldives,2020-04-13,13
Mali,2020-04-07,9
Mali,2020-04-13,12
Malta,2020-04-07,12
Malta,2020-04-13,21
Mauritania,2020-04-07,20
Mauritania,2020-04-13,20
Mauritius,2020-04-07,14
Mauritius,2020-04-13,13
Mexico,2020-04-07,7
Mexico,2020-04-13,8
Mongolia,2020-04-07,18
Mongolia,2020-04-13,17
Montenegro,2020-04-07,15
Montenegro,2020-04-13,16
Morocco,2020-04-07,7
Morocco,2020-04-13,7
Mozambique,2020-04-07,31
Mozambique,2020-04-13,33
Namibia,2020-04-07,24
Namibia,2020-04-13,23
Nepal,2020-04-07,22
Nepal,2020-04-13,22
Netherlands,2020-04-07,13
Netherlands,2020-04-13,13
New Zealand,2020-04-07,46
New Zealand,2020-04-13,46
Nicaragua,2020-04-07,3
Nicaragua,2020-04-13,3
Niger,2020-04-07,15
Niger,2020-04-13,15
Nigeria,2020-04-07,8
Nigeria,2020-04-13,9
North Macedonia,2020-04-07,13
North Macedonia,2020-04-13,13
Norway,2020-04-07,22
Norway,2020-04-13,36
Oman,2020-04-07,14
Oman,2020-04-13,18
Pakistan,2020-04-07,10
Pakistan,2020-04-13,9
Panama,2020-04-07,29
Panama,2020-04-13,30
Papua New Guinea,2020-04-07,14
Papua New Guinea,2020-04-13,25
Paraguay,2020-04-07,16
Paraguay,2020-04-13,16
Peru,2020-04-07,17
Peru,2020-04-13,17
Philippines,2020-04-07,58
Philippines,2020-04-13,58
Poland,2020-04-07,21
Poland,2020-04-13,24
Portugal,2020-04-07,43
Portugal,2020-04-13,43
Qatar,2020-04-07,9
Qatar,2020-04-13,9
Romania,2020-04-07,13
Romania,2020-04-13,14
Rwanda,2020-04-07,16
Rwanda,2020-04-13,15
Saint Kitts and Nevis,2020-04-07,3
Saint Kitts and Nevis,2020-04-13,3
Saint Lucia,2020-04-07,23
Saint Lucia,2020-04-13,23
Saint Vincent and the Grenadines,2020-04-07,8
Saint Vincent and the Grenadines,2020-04-13,9
San Marino,2020-04-07,9
San Marino,2020-04-13,9
Sao Tome and Principe,2020-04-13,1
Saudi Arabia,2020-04-07,21
Saudi Arabia,2020-04-13,22
Senegal,2020-04-07,2
Senegal,2020-04-13,3
Serbia,2020-04-07,11
Serbia,2020-04-13,10
Seychelles,2020-04-07,19
Seychelles,2020-04-13,20
Sierra Leone,2020-04-07,10
Sierra Leone,2020-04-13,10
Slovakia,2020-04-07,19
Slovakia,2020-04-13,27
Slovenia,2020-04-07,27
Slovenia,2020-04-13,27
Somalia,2020-04-07,8
Somalia,2020-04-13,8
South Africa,2020-04-07,15
South Africa,2020-04-13,15
South Korea,2020-04-07,8
South Korea,2020-04-13,11
South Sudan,2020-04-07,5
South Sudan,2020-04-13,5
Spain,2020-04-07,28
Spain,2020-04-13,30
Sri Lanka,2020-04-07,96
Sri Lanka,2020-04-13,96
Sudan,2020-04-07,12
Sudan,2020-04-13,11
Suriname,2020-04-07,6
Suriname,2020-04-13,6
Sweden,2020-04-07,15
Sweden,2020-04-13,15
Switzerland,2020-04-07,30
Switzerland,2020-04-13,30
Syria,2020-04-07,9
Syria,2020-04-13,11
Tanzania,2020-04-07,7
Tanzania,2020-04-13,8
Thailand,2020-04-07,37
Thailand,2020-04-13,37
Togo,2020-04-07,11
Togo,2020-04-13,11
Tunisia,2020-04-07,7
Tunisia,2020-04-13,7
Turkey,2020-04-07,20
Turkey,2020-04-13,20
Uganda,2020-04-07,19
Uganda,2020-04-13,20
Ukraine,2020-04-07,20
Ukraine,2020-04-13,22
United Arab Emirates,2020-04-07,12
United Arab Emirates,2020-04-13,13
United Kingdom,2020-04-07,16
United Kingdom,2020-04-13,16
United States,2020-04-07,38
United States,2020-04-13,38
Uruguay,2020-04-07,14
Uruguay,2020-04-13,14
Uzbekistan,2020-04-07,1
Uzbekistan,2020-04-13,1
Venezuela,2020-04-07,11
Venezuela,2020-04-13,11
Vietnam,2020-04-07,2
Vietnam,2020-04-13,2
Yemen,2020-04-13,18
Zambia,2020-04-07,13
Zambia,2020-04-13,13
Zimbabwe,2020-04-07,7
Zimbabwe,2020-04-13,7
